Fecha,Precio de venta,Tipo de dólar
28/12/2012 12:00:00 a.m.,"6,8",Informal (Blue)
02/01/2013 12:00:00 a.m.,"4,935",Oficial
02/01/2013 12:00:00 a.m.,"6,91",Informal (Blue)
03/01/2013 12:00:00 a.m.,"4,935",Oficial
03/01/2013 12:00:00 a.m.,"7,07",Informal (Blue)
04/01/2013 12:00:00 a.m.,"4,935",Oficial
04/01/2013 12:00:00 a.m.,"7,04",Informal (Blue)
07/01/2013 12:00:00 a.m.,"4,945",Oficial
07/01/2013 12:00:00 a.m.,"7,04",Informal (Blue)
08/01/2013 12:00:00 a.m.,"4,945",Oficial
08/01/2013 12:00:00 a.m.,"7,05",Informal (Blue)
09/01/2013 12:00:00 a.m.,"4,945",Oficial
09/01/2013 12:00:00 a.m.,"7,07",Informal (Blue)
10/01/2013 12:00:00 a.m.,"4,955",Oficial
10/01/2013 12:00:00 a.m.,"7,25",Informal (Blue)
11/01/2013 12:00:00 a.m.,"4,96",Oficial
11/01/2013 12:00:00 a.m.,"7,2",Informal (Blue)
14/01/2013 12:00:00 a.m.,"4,96",Oficial
14/01/2013 12:00:00 a.m.,"7,2",Informal (Blue)
15/01/2013 12:00:00 a.m.,"4,96",Oficial
15/01/2013 12:00:00 a.m.,"7,36",Informal (Blue)
16/01/2013 12:00:00 a.m.,"4,96",Oficial
16/01/2013 12:00:00 a.m.,"7,5",Informal (Blue)
17/01/2013 12:00:00 a.m.,"4,96",Oficial
17/01/2013 12:00:00 a.m.,"7,51",Informal (Blue)
18/01/2013 12:00:00 a.m.,"4,96",Oficial
18/01/2013 12:00:00 a.m.,"7,48",Informal (Blue)
21/01/2013 12:00:00 a.m.,"4,965",Oficial
21/01/2013 12:00:00 a.m.,"7,44",Informal (Blue)
22/01/2013 12:00:00 a.m.,"4,965",Oficial
22/01/2013 12:00:00 a.m.,"7,43",Informal (Blue)
23/01/2013 12:00:00 a.m.,"4,975",Oficial
23/01/2013 12:00:00 a.m.,"7,52",Informal (Blue)
24/01/2013 12:00:00 a.m.,"4,975",Oficial
24/01/2013 12:00:00 a.m.,"7,56",Informal (Blue)
25/01/2013 12:00:00 a.m.,"4,975",Oficial
25/01/2013 12:00:00 a.m.,"7,62",Informal (Blue)
28/01/2013 12:00:00 a.m.,"4,98",Oficial
